date,coin,value
2016-06-09,ripple,0.005769
2016-06-10,ethereum,14.38
2016-06-10,bitcoin,575.84
2016-06-10,ripple,0.005785
2016-06-11,ethereum,13.91
2016-06-11,bitcoin,578.67
2016-06-11,ripple,0.005737
2016-06-12,ethereum,14.19
2016-06-12,bitcoin,609.68
2016-06-12,ripple,0.005765999999999999
2016-06-13,bitcoin,671.65
2016-06-13,ethereum,15.77
2016-06-13,ripple,0.005852
2016-06-14,ethereum,17.61
2016-06-14,ripple,0.005828
2016-06-14,bitcoin,704.5
2016-06-15,ripple,0.007093
2016-06-15,ethereum,18.91
2016-06-15,bitcoin,685.68
2016-06-16,ripple,0.006889
2016-06-16,ethereum,18.36
2016-06-16,bitcoin,696.52
2016-06-17,ethereum,20.65
2016-06-17,ripple,0.006681
2016-06-17,bitcoin,768.49
2016-06-18,ethereum,15.38
2016-06-18,ripple,0.006693000000000001
2016-06-18,bitcoin,748.76
2016-06-19,bitcoin,756.69
2016-06-19,ethereum,11.17
2016-06-19,ripple,0.006585
2016-06-20,ripple,0.006818
2016-06-20,bitcoin,763.93
2016-06-20,ethereum,12.24
2016-06-21,ripple,0.00663
2016-06-21,bitcoin,735.88
2016-06-21,ethereum,11.82
2016-06-22,ethereum,13.2
2016-06-22,ripple,0.006179
2016-06-22,bitcoin,665.91
2016-06-23,ripple,0.006519
2016-06-23,bitcoin,597.44
2016-06-23,ethereum,13.22
2016-06-24,bitcoin,625.58
2016-06-24,ethereum,13.68
2016-06-24,ripple,0.006379999999999999
2016-06-25,ripple,0.006427
2016-06-25,bitcoin,665.28
2016-06-25,ethereum,14.3
2016-06-26,bitcoin,665.93
2016-06-26,ripple,0.006409000000000001
2016-06-26,ethereum,14.26
2016-06-27,ethereum,13.81
2016-06-27,ripple,0.006402
2016-06-27,bitcoin,629.35
2016-06-28,ripple,0.006407
2016-06-28,ethereum,13.93
2016-06-28,bitcoin,658.1
2016-06-29,ripple,0.006775
2016-06-29,ethereum,12.17
2016-06-29,bitcoin,644.12
2016-06-30,ethereum,12.6
2016-06-30,bitcoin,640.59
2016-06-30,ripple,0.006778
2016-07-01,ripple,0.006651000000000001
2016-07-01,bitcoin,672.51
2016-07-01,ethereum,12.44
2016-07-02,ripple,0.006788
2016-07-02,ethereum,12.22
2016-07-02,bitcoin,676.73
2016-07-03,ripple,0.006714
2016-07-03,ethereum,12.12
2016-07-03,bitcoin,704.97
2016-07-04,bitcoin,658.8
2016-07-04,ripple,0.006620999999999999
2016-07-04,ethereum,11.7
2016-07-05,ripple,0.0070290000000000005
2016-07-05,ethereum,11.46
2016-07-05,bitcoin,683.21
2016-07-06,bitcoin,670.42
2016-07-06,ethereum,10.58
2016-07-06,ripple,0.006716
2016-07-07,bitcoin,678.09
2016-07-07,ethereum,10.54
2016-07-07,ripple,0.006689
2016-07-08,ethereum,10.12
2016-07-08,ripple,0.006609
2016-07-08,bitcoin,640.69
2016-07-09,ripple,0.006717
2016-07-09,bitcoin,666.38
2016-07-09,ethereum,11.42
2016-07-10,ripple,0.006672
2016-07-10,ethereum,10.96
2016-07-10,bitcoin,650.6
